Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
Salamonde,Hydro,Pumped Storage,Store,Portugal,220.0,,1953.0,,,41.6919,-8.0919,32.55411255411256,56.3,75.0,7520.0,{},"{'GEM': {'G100000603241'}, 'JRC': {'JRC-H219'}, 'EESI': {'EESI-62489'}, 'ENTSOE': {'16WSALAM2------Z'}, 'GHR': {'GHR-GHR05185', 'GHR-GHR05186'}, 'GPD': {'WRI1022566'}, 'GEO': {'GEO-43544'}}"
Alto Lindoso,Hydro,Reservoir,Store,Portugal,630.0,,1922.0,,,41.8721,-8.2029,356.5079365079365,348.0,110.0,224600.0,{},"{'GEM': {'G100000603223'}, 'JRC': {'JRC-H42'}, 'ENTSOE': {'16WALINDO------J'}, 'GHR': {'GHR-GHR05158', 'GHR-GHR05117'}, 'GPD': {'WRI1022576'}, 'GEO': {'GEO-43535'}}"
Alto Rabagao,Hydro,Pumped Storage,Store,Portugal,68.0,,1964.0,,,41.738,-7.8534,120.0,568.6999999999999,94.0,8160.0,{},"{'GEM': {'G100001027395'}, 'JRC': {'JRC-H675'}, 'EESI': {'EESI-61707'}, 'GHR': {'GHR-GHR05118'}, 'GPD': {'WRI1022561'}, 'GEO': {'GEO-43547'}}"
Venda Nova,Hydro,Pumped Storage,Store,Portugal,1061.0,,1951.0,,,41.68856666666667,-8.012733333333335,1391.111111111111,92.1,97.0,125200.0,{},"{'GEM': {'G100000603246', 'G100000603245', 'G100000603244'}, 'JRC': {'JRC-H558'}, 'EESI': {'EESI-64296'}, 'GHR': {'GHR-GHR05203', 'GHR-GHR05202'}, 'GPD': {'WRI1022560'}, 'GEO': {'GEO-43565'}}"
Aguieira,Hydro,Pumped Storage,Store,Portugal,336.0,,1970.0,,,40.3406,-8.1967,116.66666666666669,304.0,71.6,39200.0,{},"{'GEM': {'G100000603220'}, 'JRC': {'JRC-H122'}, 'EESI': {'EESI-64712'}, 'ENTSOE': {'16WAGUIE-------3'}, 'GHR': {'GHR-GHR05115'}, 'GEO': {'GEO-43566'}}"
Alqueva,Hydro,Pumped Storage,Store,Portugal,515.0,,1970.0,,,38.1957,-7.4969,11.284046692607005,4150.0,96.0,5800.0,{},"{'GEM': {'G100000603222', 'G100000603221'}, 'JRC': {'JRC-H52'}, 'EESI': {'EESI-61720', 'EESI-61901'}, 'ENTSOE': {'16WALQUE-------F'}, 'GHR': {'GHR-GHR05116'}, 'GEO': {'GEO-43534'}}"
Torrao,Hydro,Pumped Storage,Store,Portugal,140.0,,1970.0,,,41.0969,-8.2611,7.0,124.0,69.0,980.0,{},"{'GEM': {'G100000603242'}, 'JRC': {'JRC-H358'}, 'EESI': {'EESI-63377'}, 'ENTSOE': {'16WTORRAO------V'}, 'GHR': {'GHR-GHR05196'}, 'GEO': {'GEO-43573'}}"
Vilarinho Das Furnas,Hydro,Pumped Storage,Store,Portugal,125.0,,1970.0,,,41.7633,-8.2097,1103.2,69.7,94.0,137900.0,{},"{'GEM': {'G100000603248'}, 'JRC': {'JRC-H410'}, 'EESI': {'EESI-61516'}, 'ENTSOE': {'16WVFURNA------1'}, 'GHR': {'GHR-GHR05206'}, 'GEO': {'GEO-43548'}}"
Canicada,Hydro,Reservoir,Store,Portugal,62.0,,1954.0,,,41.6529,-8.2309,516.1290322580645,144.4,76.0,32000.0,{},"{'GEM': {'G100001027396'}, 'JRC': {'JRC-H714'}, 'GHR': {'GHR-GHR05134'}, 'GPD': {'WRI1022562'}, 'GEO': {'GEO-43545'}}"
Paradela,Hydro,Reservoir,Store,Portugal,54.0,,1956.0,,,41.7688,-7.9501,4120.37037037037,158.2,110.0,222500.0,{},"{'GEM': {'G100001027397'}, 'JRC': {'JRC-H800'}, 'GHR': {'GHR-GHR05166'}, 'GPD': {'WRI1022564'}, 'GEO': {'GEO-43546'}}"
